Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,,Toshiba,THNSN5256GPU7 NVMe PCIe M.2 256GB,137,149,13272,https://ssd.userbenchmark.com/SpeedTest/36660/NVMe-THNSN5256GPU7-TO
SSD,,Apple,SM0256G PCIe 251GB,138,148,707,https://ssd.userbenchmark.com/SpeedTest/25442/APPLE-SSD-SM0256G
SSD,PX-512M8SeY,Plextor,M8Se NVMe PCIe M.2 512GB,139,146,165,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeG,Plextor,M8Se NVMe PCIe M.2 512GB,139,146,165,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,PX-512M8SeGN,Plextor,M8Se NVMe PCIe M.2 512GB,139,146,165,https://ssd.userbenchmark.com/SpeedTest/341666/PLEXTOR-PX-512M8SeG
SSD,SHPM2280P2/480G,Kingston,HyperX Predator AHCI PCIe M.2 480GB,140,143,1776,https://ssd.userbenchmark.com/SpeedTest/27251/Kingston-SHPM2280P2480G
SSD,PX-1TM8SeY,Plextor,M8Se NVMe PCIe M.2 1TB,141,143,129,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeG,Plextor,M8Se NVMe PCIe M.2 1TB,141,143,129,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PX-1TM8SeGN,Plextor,M8Se NVMe PCIe M.2 1TB,141,143,129,https://ssd.userbenchmark.com/SpeedTest/331208/PLEXTOR-PX-1TM8SeG
SSD,PH240GPM280SSDR,Patriot,Hellfire NVMe PCIe M.2 240GB,142,143,1749,https://ssd.userbenchmark.com/SpeedTest/179778/Patriot-Hellfire-M2
SSD,RVD350-FHPX28-480G,OCZ,RevoDrive 350 PCIe 480GB,143,143,480,https://ssd.userbenchmark.com/SpeedTest/13514/OCZ-REVODRIVE350
SSD,PX-128M8PeG,Plextor,M8Pe NVMe PCIe M.2 128GB,144,143,484,https://ssd.userbenchmark.com/SpeedTest/171560/PLEXTOR-PX-128M8PeG
SSD,2YY42AA#ABC,HP,EX900 NVMe PCIe M.2 120GB,145,142,1443,https://ssd.userbenchmark.com/SpeedTest/489362/HP-SSD-EX900-120GB
SSD,SKC1000/240G,Kingston,KC1000 NVMe PCIe M.2 240GB,146,140,1440,https://ssd.userbenchmark.com/SpeedTest/312458/KINGSTON-SKC1000240G
SSD,KXG50ZNV512G,Toshiba,XG5 NVMe PCIe M.2 512GB,147,140,25071,https://ssd.userbenchmark.com/SpeedTest/359770/KXG50ZNV512G-NVMe-TOSHIBA-512GB
SSD,MDNVME80-BPX-0128,MyDigitalSSD,BPX NVMe PCIe M.2 120GB,148,140,643,https://ssd.userbenchmark.com/SpeedTest/217777/BPX
SSD,PX-256M8SeY,Plextor,M8Se NVMe PCIe M.2 256GB,149,138,304,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeG,Plextor,M8Se NVMe PCIe M.2 256GB,149,138,304,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,PX-256M8SeGN,Plextor,M8Se NVMe PCIe M.2 256GB,149,138,304,https://ssd.userbenchmark.com/SpeedTest/327270/PLEXTOR-PX-256M8SeG
SSD,ASX8000NP-256GM-C,Adata,XPG SX8000 NVMe PCIe M.2 256GB,150,136,2312,https://ssd.userbenchmark.com/SpeedTest/209005/NVMe-ADATA-SX8000NP
SSD,,Samsung,PM951 NVMe PCIe M.2 512GB,151,136,5875,https://ssd.userbenchmark.com/SpeedTest/37633/NVMe-PM951-NVMe-SAMSU
SSD,SA1000M8/960G,Kingston,A1000 NVMe PCIe M.2 960GB,152,134,1389,https://ssd.userbenchmark.com/SpeedTest/495225/KINGSTON-SA1000M8960G
SSD,SSDPEKKW512G7X1,Intel,600p Series NVMe PCIe M.2 512GB,153,133,18157,https://ssd.userbenchmark.com/SpeedTest/168978/INTEL-SSDPEKKW512G7
SSD,SA1000M8/480G,Kingston,A1000 NVMe PCIe M.2 480GB,154,133,9223,https://ssd.userbenchmark.com/SpeedTest/492906/KINGSTON-SA1000M8480G
SSD,CSSD-F120GBMP500,Corsair,Force MP500 NVMe PCIe M.2 120GB,155,131,9137,https://ssd.userbenchmark.com/SpeedTest/221057/Force-MP500
SSD,WDS512G1X0C,WD,Black NVMe PCIe M.2 512GB (2017),156,131,10196,https://ssd.userbenchmark.com/SpeedTest/251339/WDC-WDS512G1X0C-00ENX0
SSD,SHPM2280P2/240G,Kingston,HyperX Predator AHCI PCIe M.2 240GB,157,130,5295,https://ssd.userbenchmark.com/SpeedTest/26065/Kingston-SHPM2280P2240G
SSD,ASX7000NP-512GT-C,Adata,XPG SX7000 NVMe PCIe M.2 512GB,158,129,2058,https://ssd.userbenchmark.com/SpeedTest/318275/NVMe-ADATA-SX7000NP
SSD,MZHPU256HCGL,Samsung,XP941 PCIe M.2 256GB,159,128,2641,https://ssd.userbenchmark.com/SpeedTest/4625/SAMSUNG-MZHPU256HCGL-00000
SSD,SSDPEKKW128G8XT,Intel,760p Series NVMe PCIe M.2 128GB,160,128,554,https://ssd.userbenchmark.com/SpeedTest/446913/INTEL-SSDPEKKW128G8
SSD,MDNVME80-SBX-0512,MyDigitalSSD,SBX NVMe PCIe M.2 512GB,161,128,171,https://ssd.userbenchmark.com/SpeedTest/438137/SBX
SSD,KXG50ZNV256G,Toshiba,XG5 NVMe PCIe M.2 256GB,162,127,32888,https://ssd.userbenchmark.com/SpeedTest/358656/KXG50ZNV256G-NVMe-TOSHIBA-256GB
SSD,MZHPU512HCGL,Samsung,XP941 PCIe M.2 512GB,163,127,1184,https://ssd.userbenchmark.com/SpeedTest/4874/SAMSUNG-MZHPU512HCGL-00000
