Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,GV-N1080TTOC-8GD,Gigabyte,Gigabyte GTX 1080 8GB Turbo,30,105,807449,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,GV-N1080WF3OC-8GD,Gigabyte,Gigabyte GTX 1080 8GB Windforce,30,105,807449,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603
GPU,,Nvidia,Quadro GP100,31,104,98,https://gpu.userbenchmark.com/SpeedTest/279788/NVIDIA-Quadro-GP100
GPU,,Nvidia,RTX 2060S (Super),32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SGAMING OC-8GC,Gigabyte,Gigabyte RTX 2060 Super 8GB Gaming,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3163-KR,EVGA,EVGA RTX 2060 Super 8GB SC XC Ultra Gaming,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,RTX 2060 Super Gaming X,MSI,MSI RTX 2060 Super 8GB Gaming X,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SWF2OC-8GD,Gigabyte,Gigabyte RTX 2060 Super 8GB Windforce OC,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,GV-N206SAORUS-8GC,Gigabyte,Gigabyte RTX 2060 Super 8GB Aorus,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3062-KR,EVGA,EVGA RTX 2060 8GB Super SC Black,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,08G-P4-3067,EVGA,EVGA RTX 2060 Super 8GB SC Ultra Gaming,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,ZT-T20610E-10M,Zotac,Zotac RTX 2060 Super 8GB Mini Gaming,32,99.4,192780,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049
GPU,,AMD,RX Vega-64LC (Liquid Cooled),33,99.3,3387,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,GV-RXVEGA64X W-8GD-B,AMD,Gigabyte RX Vega 64 8GB LC,33,99.3,3387,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,21275-00-40G,AMD,Sapphire RX Vega 64 8GB LC,33,99.3,3387,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,RX-VEGMXWFXW,AMD,XFX RX Vega 64 8GB LC,33,99.3,3387,https://gpu.userbenchmark.com/SpeedTest/353890/Radeon-RX-Vega
GPU,,Nvidia,GTX 1070-Ti,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,ROG-STRIX-GTX1070TI-A8G-GAMING,Asus,Asus GTX 1070 Ti 8GB STRIX,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GTX 1070 TI GAMING 8G,MSI,MSI GTX 1070 Ti 8GB Gaming,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,08G-P4-5671-KR,EVGA,EVGA GTX 1070 Ti 8GB SC GAMING,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GV-N107TGAMING OC-8GD,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming OC,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GTX 1070 TI AERO 8G,MSI,MSI GTX 1070 Ti 8GB Aero,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,ROG-STRIX-GTX1070TI-8G-GAMING,Asus,Asus GTX 1070 Ti 8GB ROG Strix Gaming,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,08G-P4-6775-KR,EVGA,EVGA GTX 1070 Ti 8GB FTW2 GAMING,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GV-N107TGAMING-8GD,Gigabyte,Gigabyte GTX 1070 Ti 8GB Gaming,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,08G-P4-6678-KR,EVGA,EVGA GTX 1070 Ti 8GB FTW ULTRA SILENT GAMING,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,GTX 1070 TI TITANIUM 8G,MSI,MSI GTX 1070 Ti 8GB TITANIUM,34,96.6,275435,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943
GPU,,Nvidia,RTX 2080S (Super Mobile Max-Q),35,96.4,1560,https://gpu.userbenchmark.com/SpeedTest/1114823/NVIDIA-GeForce-RTX-2080-Super-with-Max-Q-Design
